smiles,name,inchikey,standard_deviation_of_teac_molte/mol,homo,lumo,molecular_weight,bde,ip,pde,pa,ete,teac_molte_mol_limpio
C1=CC(=CC=C1O)Br,p-Bromophenol,GZFGOTFRPZRKDS-UHFFFAOYSA-N,,-9.229,-0.371,173.0089,82.89634,200.4921,138.440539999999,268.9095,70.02315,0.057
CC1=C(C=CC(=C1)O)[N+](=O)[O-],4-nitro-m-cresol,PIIZYNQECPTVEO-UHFFFAOYSA-N,,-10.05,-1.102,153.1372,84.33603,214.7907,125.5817,254.2858,86.0865,0.05
CCCCCCC1=CC=C(C=C1)O,4-hexylphenol,SZWBRVPZWJYIHI-UHFFFAOYSA-N,,-8.925,0.117,178.2736,75.04734,190.9155,140.1682,279.1787,51.90491,0.059
C1=CC(=CC=C1[N+](=O)[O-])O,4-Nitrophenol,BTJIUGUIPKRLHP-UHFFFAOYSA-N,,-10.148,-1.238,139.1104,86.34113,218.2835,124.0939,252.5226,89.8548,0.046
CCCC1=CC=C(C=C1)O,4-propylphenol,KLSLBUSXWBJMEC-UHFFFAOYSA-N,,-8.943,0.105,136.1932,75.26801,191.8682,139.4361,279.2598,52.0445,0.045
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,pentachlorophenol,IZUPBVBPLAPZRR-UHFFFAOYSA-N,,-9.811,-1.51,266.3383,80.94166,210.5307,126.447289999999,245.8136,91.16435,0.087
CCCCCCCC1=CC=C(C=C1)O,4-heptylphenol,KNDDEFBFJLKPFE-UHFFFAOYSA-N,,-8.942,0.104,192.3004,75.21017,191.35665304,139.8898,278.8832,52.36326,0.063
CC(=O)C1=CC=C(C=C1)O,4'-Hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,,-9.569,-0.525,136.15,84.22626,204.988,135.2746,264.8067,75.45583,0.045
C1=CC(=CC(=C1)O)C=O,3-hydroxybenzaldehyde,IAVREABSGIHHMO-UHFFFAOYSA-N,,-9.536,-0.861,122.1232,72.19926,205.0524,123.1832,270.705259999999,57.53031,0.04
C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,,-9.627,-0.653,122.1232,75.01785,207.03055304,124.0236,263.8279,67.22629,0.04
CC1=C(C=C(C=C1)O)C,"3,4-dimethylphenol",YCOXTKKNXUZSKD-UHFFFAOYSA-N,,-8.806,0.213,122.1664,80.09482,188.4382,147.693,280.9941,55.13708,0.04
CC1=CC(=C(C(=C1O)C)C)C(C2=CC=CC=C2O)C3=C(C(=C(C(=C3)C)O)C)C,"4,4'-(2-Hydroxybenzylidene)bis(2,3,6-trimethylphenol)",CLAQXRONBVEWMK-UHFFFAOYSA-N,0.143186087,-8.64,0.214,376.4944,67.0407999999999,179.3051,143.772049999999,273.2134,49.86368,0.676265161
