fragmentos_fenol,fragmentos_ar_oh,NroAnilloAromatico,NroAnilloNoAromatico,TPSA,donadores_puente_hidrogeno,aceptores_puente_hidrogeno,MolLogP,enlaces_rotables,fraccion_carbono_sp3,conteo_atomos_pesados,refractividad_molar,alfa_hall_kier,carga_parcial_maxima,carga_parcial_minima,carga_parcial_abs_maxima,carga_parcial_abs_minima,kappa_1,kappa_3,chi_0v,chi_2v,chi_4v,coeficiente_qed,num_catecoles,num_resorcinoles,num_hidroquinonas,oh_vecino_a_metoxi
1,1,1,0,66.76,2,3,1.4986,3,0.1,14,51.328600000000016,-1.97,0.3278212028831469,-0.5042543435661512,0.5042543435661512,0.3278212028831469,10.113125519534497,2.5158513680748387,7.597675117875773,2.6028572283419775,0.9653977798623686,0.715320210715463,0,0,0,0
1,1,2,1,88.38000000000001,3,6,2.6245000000000003,6,0.3,26,96.96840000000003,-2.7,0.16538186850049597,-0.5042545789614227,0.5042545789614227,0.16538186850049597,18.101918480213723,3.208989540414363,14.676751642971192,5.9852642850276085,3.2219377289032707,0.7356895982224959,0,0,0,0
1,1,1,0,66.76,2,3,1.4986,3,0.1,14,51.328600000000016,-1.97,0.3278212028796268,-0.5042402148319296,0.5042402148319296,0.3278212028796268,10.113125519534497,2.5158513680748387,7.597675117875773,2.602857228341978,0.978195735344527,0.715320210715463,0,0,0,0
1,1,1,0,66.76,2,3,1.418,4,0.3,14,50.61560000000003,-1.7099999999999997,0.30317778210720453,-0.5042546045037377,0.5042546045037377,0.30317778210720453,10.371366965012205,2.6547240961114618,7.8571881418696154,2.899939727373661,1.1288119746397463,0.7637575366936771,0,0,0,0
1,1,1,0,55.760000000000005,1,4,1.9770999999999999,4,0.25,16,60.32580000000004,-1.97,0.3302508465766441,-0.5042543435661512,0.5042543435661512,0.3302508465766441,12.10127583749109,3.3093149925756484,9.265816594026225,3.016667855974181,1.1525220919740415,0.6247809319691038,0,0,0,0
1,1,1,0,55.760000000000005,1,4,1.8964999999999999,5,0.4166666666666667,16,59.61280000000004,-1.7099999999999997,0.3056056376321563,-0.5042546045037377,0.5042546045037377,0.3056056376321563,12.35997900629811,3.456117060671693,9.525329618020068,3.311222353970674,1.3570977328737823,0.7759231965983463,0,0,0,0
1,1,1,0,49.69,2,3,1.4062999999999997,3,0.2,13,50.77860000000003,-1.4799999999999998,0.16057155719874905,-0.5042543435738578,0.5042543435738578,0.16057155719874905,9.606805555555557,2.487864514918371,7.396533608598456,2.516229339917017,0.986671635657873,0.7389052203835135,0,0,0,0
1,1,1,0,49.69,2,3,1.3256999999999999,4,0.4,13,50.06560000000003,-1.22,0.1602488533845794,-0.5042546045116779,0.5042546045116779,0.1602488533845794,9.864889643463497,2.628719697439394,7.6560466325923,2.8333613724935605,1.160722758333003,0.7380598312115842,0,0,0,0
0,0,0,2,35.53,0,3,1.2047999999999999,1,0.5,13,47.15600000000003,-1.09,0.2194320080650187,-0.4928734016907382,0.4928734016907382,0.2194320080650187,8.505674877196055,1.395830563694495,7.57811602252011,3.317266474030995,1.7276437217928053,0.6079830100026897,0,0,0,0
1,1,1,0,75.99,2,4,1.5071999999999999,4,0.18181818181818182,16,57.88060000000002,-2.17,0.3278212209588248,-0.5016992098707758,0.5016992098707758,0.3278212209588248,11.90230657989877,2.6621335264996437,8.92857313915001,2.945602764353115,1.177499043963772,0.7578877168072972,0,0,0,0
